count	flag	ext	s1	s2	density
16429	2177	chelex	sof1	sof2	1000
74938	2179	chelex	sof1	sof2	1000
5417	2185	chelex	sof1	sof2	1000
34830	2193	chelex	sof1	sof2	1000
28820	2195	chelex	sof1	sof2	1000
35035	2209	chelex	sof1	sof2	1000
28731	2211	chelex	sof1	sof2	1000
16634	2225	chelex	sof1	sof2	1000
74797	2227	chelex	sof1	sof2	1000
5102	2233	chelex	sof1	sof2	1000
61506	65	chelex	sof1	sof2	1000
39276	69	chelex	sof1	sof2	1000
13851	73	chelex	sof1	sof2	1000
15379152	77	chelex	sof1	sof2	1000
55263	81	chelex	sof1	sof2	1000
4984614	83	chelex	sof1	sof2	1000
53605	97	chelex	sof1	sof2	1000
4975891	99	chelex	sof1	sof2	1000
83501	113	qiagen	sanger1	sanger2	100
15182	117	qiagen	sanger1	sanger2	100
4455	121	qiagen	sanger1	sanger2	100
85799	129	qiagen	sanger1	sanger2	100
21756	133	qiagen	sanger1	sanger2	100
4545	137	qiagen	sanger1	sanger2	100
6471901	141	qiagen	sanger1	sanger2	100
85623	145	qiagen	sanger1	sanger2	100
5623742	147	qiagen	sanger1	sanger2	100
85536	161	qiagen	sanger1	sanger2	100
5631085	163	qiagen	sanger1	sanger2	100
83501	177	qiagen	sanger1	sanger2	100
22097	181	qiagen	sanger1	sanger2	100
4479	185	qiagen	sanger1	sanger2	100
17117	2113	qiagen	sanger1	sanger2	100
120696	2115	qiagen	sanger1	sanger2	100
1919	2121	qiagen	sanger1	sanger2	100
41834	2129	qiagen	sanger1	sanger2	100
43088	2131	qiagen	sanger1	sanger2	100
41564	2145	qiagen	sanger1	sanger2	100
42820	2147	qiagen	sanger1	sanger2	100
17469	2161	qiagen	sanger1	sanger2	100
120822	2163	qiagen	sanger1	sanger2	100
1958	2169	qiagen	sanger1	sanger2	100
25411	2177	qiagen	sanger1	sanger2	100
128929	2179	qiagen	sanger1	sanger2	100
2939	2185	qiagen	sanger1	sanger2	100
52021	2193	qiagen	sanger1	sanger2	100
51609	2195	qiagen	sanger1	sanger2	100
51069	2209	qiagen	sanger1	sanger2	100
49695	2211	qiagen	sanger1	sanger2	100
24986	2225	qiagen	sanger1	sanger2	100
127213	2227	qiagen	sanger1	sanger2	100
2953	2233	qiagen	sanger1	sanger2	100
85799	65	qiagen	sanger1	sanger2	100
15196	69	qiagen	sanger1	sanger2	100
4481	73	qiagen	sanger1	sanger2	100
6471901	77	qiagen	sanger1	sanger2	100
85536	81	qiagen	sanger1	sanger2	100
5631085	83	qiagen	sanger1	sanger2	100
85623	97	qiagen	sanger1	sanger2	100
5623742	99	qiagen	sanger1	sanger2	100
192558	113	qiagen	sanger1	sanger2	1000
16570	117	qiagen	sanger1	sanger2	1000
6125	121	qiagen	sanger1	sanger2	1000
196767	129	qiagen	sanger1	sanger2	1000
27450	133	qiagen	sanger1	sanger2	1000
4481	137	qiagen	sanger1	sanger2	1000
3320175	141	qiagen	sanger1	sanger2	1000
167278	145	qiagen	sanger1	sanger2	1000
7787227	147	qiagen	sanger1	sanger2	1000
168070	161	qiagen	sanger1	sanger2	1000
7790138	163	qiagen	sanger1	sanger2	1000
192558	177	qiagen	sanger1	sanger2	1000
26836	181	qiagen	sanger1	sanger2	1000
4361	185	qiagen	sanger1	sanger2	1000
41205	2113	qiagen	sanger1	sanger2	1000
208454	2115	qiagen	sanger1	sanger2	1000
3279	2121	qiagen	sanger1	sanger2	1000
100658	2129	qiagen	sanger1	sanger2	1000
85146	2131	qiagen	sanger1	sanger2	1000
100032	2145	qiagen	sanger1	sanger2	1000
83598	2147	qiagen	sanger1	sanger2	1000
41277	2161	qiagen	sanger1	sanger2	1000
207322	2163	qiagen	sanger1	sanger2	1000
3141	2169	qiagen	sanger1	sanger2	1000
54019	2177	qiagen	sanger1	sanger2	1000
219623	2179	qiagen	sanger1	sanger2	1000
3666	2185	qiagen	sanger1	sanger2	1000
115540	2193	qiagen	sanger1	sanger2	1000
99374	2195	qiagen	sanger1	sanger2	1000
115373	2209	qiagen	sanger1	sanger2	1000
96986	2211	qiagen	sanger1	sanger2	1000
53208	2225	qiagen	sanger1	sanger2	1000
220992	2227	qiagen	sanger1	sanger2	1000
3703	2233	qiagen	sanger1	sanger2	1000
196767	65	qiagen	sanger1	sanger2	1000
16922	69	qiagen	sanger1	sanger2	1000
6108	73	qiagen	sanger1	sanger2	1000
3320175	77	qiagen	sanger1	sanger2	1000
168070	81	qiagen	sanger1	sanger2	1000
7790138	83	qiagen	sanger1	sanger2	1000
167278	97	qiagen	sanger1	sanger2	1000
7787227	99	qiagen	sanger1	sanger2	1000
99355	113	qiagen	sof1	sof2	100
41869	117	qiagen	sof1	sof2	100
10716	121	qiagen	sof1	sof2	100
104851	129	qiagen	sof1	sof2	100
46579	133	qiagen	sof1	sof2	100
11251	137	qiagen	sof1	sof2	100
13040913	141	qiagen	sof1	sof2	100
88755	145	qiagen	sof1	sof2	100
6197918	147	qiagen	sof1	sof2	100
90053	161	qiagen	sof1	sof2	100
6196475	163	qiagen	sof1	sof2	100
99355	177	qiagen	sof1	sof2	100
45387	181	qiagen	sof1	sof2	100
11077	185	qiagen	sof1	sof2	100
19367	2113	qiagen	sof1	sof2	100
112327	2115	qiagen	sof1	sof2	100
2888	2121	qiagen	sof1	sof2	100
49598	2129	qiagen	sof1	sof2	100
40713	2131	qiagen	sof1	sof2	100
48448	2145	qiagen	sof1	sof2	100
40574	2147	qiagen	sof1	sof2	100
19361	2161	qiagen	sof1	sof2	100
112196	2163	qiagen	sof1	sof2	100
2891	2169	qiagen	sof1	sof2	100
27059	2177	qiagen	sof1	sof2	100
119632	2179	qiagen	sof1	sof2	100
5539	2185	qiagen	sof1	sof2	100
58939	2193	qiagen	sof1	sof2	100
48376	2195	qiagen	sof1	sof2	100
58234	2209	qiagen	sof1	sof2	100
48534	2211	qiagen	sof1	sof2	100
26497	2225	qiagen	sof1	sof2	100
119934	2227	qiagen	sof1	sof2	100
5397	2233	qiagen	sof1	sof2	100
104851	65	qiagen	sof1	sof2	100
43258	69	qiagen	sof1	sof2	100
10703	73	qiagen	sof1	sof2	100
13040913	77	qiagen	sof1	sof2	100
90053	81	qiagen	sof1	sof2	100
6196475	83	qiagen	sof1	sof2	100
88755	97	qiagen	sof1	sof2	100
6197918	99	qiagen	sof1	sof2	100
195265	113	qiagen	sof1	sof2	1000
23197	117	qiagen	sof1	sof2	1000
7944	121	qiagen	sof1	sof2	1000
197360	129	qiagen	sof1	sof2	1000
32776	133	qiagen	sof1	sof2	1000
7050	137	qiagen	sof1	sof2	1000
2671576	141	qiagen	sof1	sof2	1000
156503	145	qiagen	sof1	sof2	1000
7695109	147	qiagen	sof1	sof2	1000
158696	161	qiagen	sof1	sof2	1000
7704011	163	qiagen	sof1	sof2	1000
195265	177	qiagen	sof1	sof2	1000
32196	181	qiagen	sof1	sof2	1000
7070	185	qiagen	sof1	sof2	1000
37321	2113	qiagen	sof1	sof2	1000
200744	2115	qiagen	sof1	sof2	1000
3420	2121	qiagen	sof1	sof2	1000
103057	2129	qiagen	sof1	sof2	1000
86180	2131	qiagen	sof1	sof2	1000
102910	2145	qiagen	sof1	sof2	1000
85209	2147	qiagen	sof1	sof2	1000
37373	2161	qiagen	sof1	sof2	1000
199930	2163	qiagen	sof1	sof2	1000
3482	2169	qiagen	sof1	sof2	1000
48461	2177	qiagen	sof1	sof2	1000
214830	2179	qiagen	sof1	sof2	1000
4975	2185	qiagen	sof1	sof2	1000
117619	2193	qiagen	sof1	sof2	1000
99627	2195	qiagen	sof1	sof2	1000
117470	2209	qiagen	sof1	sof2	1000
98291	2211	qiagen	sof1	sof2	1000
48850	2225	qiagen	sof1	sof2	1000
213124	2227	qiagen	sof1	sof2	1000
4874	2233	qiagen	sof1	sof2	1000
197360	65	qiagen	sof1	sof2	1000
23172	69	qiagen	sof1	sof2	1000
8416	73	qiagen	sof1	sof2	1000
2671576	77	qiagen	sof1	sof2	1000
158696	81	qiagen	sof1	sof2	1000
7704011	83	qiagen	sof1	sof2	1000
156503	97	qiagen	sof1	sof2	1000
7695109	99	qiagen	sof1	sof2	1000
