baseQuality	bq_count	ext	s1	s2	density
28	1518571329	qiagen	sof2	sanger1	1K
29	3736148720	qiagen	sof2	sanger1	1K
30	1197800034	qiagen	sof2	sanger1	1K
31	93843616	qiagen	sof2	sanger1	1K
32	5839865	qiagen	sof2	sanger1	1K
6	2612085	qiagen	sof2	sanger2	100
7	7132011	qiagen	sof2	sanger2	100
8	9652779	qiagen	sof2	sanger2	100
9	5443061	qiagen	sof2	sanger2	100
10	39892789	qiagen	sof2	sanger2	100
11	205417812	qiagen	sof2	sanger2	100
12	336544029	qiagen	sof2	sanger2	100
13	297997992	qiagen	sof2	sanger2	100
14	167053825	qiagen	sof2	sanger2	100
15	161343323	qiagen	sof2	sanger2	100
16	160999638	qiagen	sof2	sanger2	100
17	82270905	qiagen	sof2	sanger2	100
18	73322910	qiagen	sof2	sanger2	100
19	81474499	qiagen	sof2	sanger2	100
20	40860723	qiagen	sof2	sanger2	100
21	63319257	qiagen	sof2	sanger2	100
22	63754536	qiagen	sof2	sanger2	100
23	175040148	qiagen	sof2	sanger2	100
24	777118769	qiagen	sof2	sanger2	100
25	1442931549	qiagen	sof2	sanger2	100
26	1547082913	qiagen	sof2	sanger2	100
27	676035328	qiagen	sof2	sanger2	100
28	779403567	qiagen	sof2	sanger2	100
29	4685465306	qiagen	sof2	sanger2	100
30	1787237229	qiagen	sof2	sanger2	100
31	256290879	qiagen	sof2	sanger2	100
32	42196778	qiagen	sof2	sanger2	100
4	258501	qiagen	sof2	sanger2	1K
5	1372049	qiagen	sof2	sanger2	1K
6	3686659	qiagen	sof2	sanger2	1K
7	6939565	qiagen	sof2	sanger2	1K
8	10062868	qiagen	sof2	sanger2	1K
9	28841313	qiagen	sof2	sanger2	1K
10	111492351	qiagen	sof2	sanger2	1K
11	276910007	qiagen	sof2	sanger2	1K
12	343332022	qiagen	sof2	sanger2	1K
13	214235422	qiagen	sof2	sanger2	1K
14	194980292	qiagen	sof2	sanger2	1K
15	193037719	qiagen	sof2	sanger2	1K
16	134624357	qiagen	sof2	sanger2	1K
17	31876511	qiagen	sof2	sanger2	1K
18	22264246	qiagen	sof2	sanger2	1K
19	65744694	qiagen	sof2	sanger2	1K
20	30745643	qiagen	sof2	sanger2	1K
21	59475464	qiagen	sof2	sanger2	1K
22	75862637	qiagen	sof2	sanger2	1K
23	231850692	qiagen	sof2	sanger2	1K
24	376020106	qiagen	sof2	sanger2	1K
25	1522705862	qiagen	sof2	sanger2	1K
26	966175452	qiagen	sof2	sanger2	1K
27	489370031	qiagen	sof2	sanger2	1K
28	1805600606	qiagen	sof2	sanger2	1K
29	3990705520	qiagen	sof2	sanger2	1K
30	697050946	qiagen	sof2	sanger2	1K
31	73983714	qiagen	sof2	sanger2	1K
32	5839865	qiagen	sof2	sanger2	1K
