baseQuality	bq_count	ext	s1	s2	density
32	263880974	chelex	sof1	sanger2	100
33	68534639	chelex	sof1	sanger2	100
34	45126633	chelex	sof1	sanger2	100
35	61648676	chelex	sof1	sanger2	100
36	61695605	chelex	sof1	sanger2	100
37	21087858	chelex	sof1	sanger2	100
38	638209	chelex	sof1	sanger2	100
6	1225830	chelex	sof1	sanger2	1K
7	7739423	chelex	sof1	sanger2	1K
8	11658796	chelex	sof1	sanger2	1K
9	3485289	chelex	sof1	sanger2	1K
10	27791606	chelex	sof1	sanger2	1K
11	253382245	chelex	sof1	sanger2	1K
12	427628733	chelex	sof1	sanger2	1K
13	231526109	chelex	sof1	sanger2	1K
14	109795856	chelex	sof1	sanger2	1K
15	157353569	chelex	sof1	sanger2	1K
16	147111471	chelex	sof1	sanger2	1K
17	55752871	chelex	sof1	sanger2	1K
18	45201205	chelex	sof1	sanger2	1K
19	56465146	chelex	sof1	sanger2	1K
20	37633882	chelex	sof1	sanger2	1K
21	75831814	chelex	sof1	sanger2	1K
22	100777920	chelex	sof1	sanger2	1K
23	308978258	chelex	sof1	sanger2	1K
24	1017341647	chelex	sof1	sanger2	1K
25	1399012781	chelex	sof1	sanger2	1K
26	1419547134	chelex	sof1	sanger2	1K
27	620071450	chelex	sof1	sanger2	1K
28	1308237285	chelex	sof1	sanger2	1K
29	3247960572	chelex	sof1	sanger2	1K
30	2009665098	chelex	sof1	sanger2	1K
31	138228018	chelex	sof1	sanger2	1K
32	44528352	chelex	sof1	sanger2	1K
33	1441228	chelex	sof1	sanger2	1K
34	73949	chelex	sof1	sanger2	1K
4	928462	chelex	sof1	sof2	100
6	1308259	chelex	sof1	sof2	100
7	10528915	chelex	sof1	sof2	100
8	19555557	chelex	sof1	sof2	100
9	22871970	chelex	sof1	sof2	100
10	121671079	chelex	sof1	sof2	100
11	302447314	chelex	sof1	sof2	100
12	275021240	chelex	sof1	sof2	100
13	226958010	chelex	sof1	sof2	100
14	216585229	chelex	sof1	sof2	100
15	178682474	chelex	sof1	sof2	100
