na	pc_error	n_sites	s1	s2
ERR	0.053997	15112	1000-Qia-M-Sof-1	100-Che-M-Sang-1
ERR	0.050500	15109	1000-Qia-M-Sof-1	100-Che-M-Sang-2
ERR	0.040183	15106	1000-Qia-M-Sof-1	100-Che-M-Sof-1
ERR	0.492649	15100	1000-Qia-M-Sof-1	100-Che-M-Sof-2
ERR	0.077707	15108	1000-Qia-M-Sof-1	100-Che-R-Sang-1
ERR	0.068587	15105	1000-Qia-M-Sof-1	100-Che-R-Sang-2
ERR	0.057714	15109	1000-Qia-M-Sof-1	100-Che-R-Sof-1
ERR	0.061210	15112	1000-Qia-M-Sof-1	100-Che-R-Sof-2
ERR	0.238949	15112	1000-Qia-M-Sof-1	100-Qia-M-Sang-1
ERR	0.232343	15107	1000-Qia-M-Sof-1	100-Qia-M-Sang-2
ERR	0.519958	15082	1000-Qia-M-Sof-1	100-Qia-M-Sof-1
ERR	0.160885	15104	1000-Qia-M-Sof-1	100-Qia-M-Sof-2
ERR	0.192081	15103	1000-Qia-M-Sof-1	100-Qia-R-Sang-1
ERR	0.175415	15107	1000-Qia-M-Sof-1	100-Qia-R-Sang-2
ERR	0.148852	15109	1000-Qia-M-Sof-1	100-Qia-R-Sof-1
ERR	0.150384	15108	1000-Qia-M-Sof-1	100-Qia-R-Sof-2
ERR	0.037998	15106	1000-Qia-M-Sof-1	1000-Che-M-Sang-1
ERR	0.037919	15111	1000-Qia-M-Sof-1	1000-Che-M-Sang-2
ERR	0.036674	15106	1000-Qia-M-Sof-1	1000-Che-M-Sof-1
ERR	0.034622	15106	1000-Qia-M-Sof-1	1000-Che-M-Sof-2
ERR	0.039174	15112	1000-Qia-M-Sof-1	1000-Che-R-Sang-1
ERR	0.041634	15108	1000-Qia-M-Sof-1	1000-Che-R-Sang-2
ERR	0.039378	15110	1000-Qia-M-Sof-1	1000-Che-R-Sof-1
ERR	0.041104	15108	1000-Qia-M-Sof-1	1000-Che-R-Sof-2
ERR	0.051155	15111	1000-Qia-M-Sof-1	1000-Qia-M-Sang-1
ERR	0.056181	15112	1000-Qia-M-Sof-1	1000-Qia-M-Sang-2
ERR	0.521581	15083	1000-Qia-M-Sof-2	10-Che-M-Sof-1
ERR	0.051548	15112	1000-Qia-M-Sof-2	100-Che-M-Sang-1
ERR	0.053544	15109	1000-Qia-M-Sof-2	100-Che-M-Sang-2
ERR	0.045479	15106	1000-Qia-M-Sof-2	100-Che-M-Sof-1
ERR	0.485894	15100	1000-Qia-M-Sof-2	100-Che-M-Sof-2
ERR	0.075721	15108	1000-Qia-M-Sof-2	100-Che-R-Sang-1
ERR	0.068587	15105	1000-Qia-M-Sof-2	100-Che-R-Sang-2
ERR	0.057780	15109	1000-Qia-M-Sof-2	100-Che-R-Sof-1
ERR	0.062864	15112	1000-Qia-M-Sof-2	100-Che-R-Sof-2
ERR	0.235310	15112	1000-Qia-M-Sof-2	100-Qia-M-Sang-1
ERR	0.230754	15107	1000-Qia-M-Sof-2	100-Qia-M-Sang-2
ERR	0.510145	15082	1000-Qia-M-Sof-2	100-Qia-M-Sof-1
ERR	0.159362	15104	1000-Qia-M-Sof-2	100-Qia-M-Sof-2
ERR	0.188969	15103	1000-Qia-M-Sof-2	100-Qia-R-Sang-1
ERR	0.177865	15107	1000-Qia-M-Sof-2	100-Qia-R-Sang-2
ERR	0.145542	15109	1000-Qia-M-Sof-2	100-Qia-R-Sof-1
ERR	0.146810	15108	1000-Qia-M-Sof-2	100-Qia-R-Sof-2
ERR	0.040845	15106	1000-Qia-M-Sof-2	1000-Che-M-Sang-1
ERR	0.040376	15108	1000-Qia-M-Sof-2	1000-Che-M-Sang-2
ERR	0.044287	15106	1000-Qia-M-Sof-2	1000-Che-M-Sof-1
ERR	0.040381	15106	1000-Qia-M-Sof-2	1000-Che-M-Sof-2
ERR	0.043806	15112	1000-Qia-M-Sof-2	1000-Che-R-Sang-1
ERR	0.044411	15109	1000-Qia-M-Sof-2	1000-Che-R-Sang-2
ERR	0.043415	15110	1000-Qia-M-Sof-2	1000-Che-R-Sof-1
ERR	0.042825	15108	1000-Qia-M-Sof-2	1000-Che-R-Sof-2
ERR	0.051353	15111	1000-Qia-M-Sof-2	1000-Qia-M-Sang-1
ERR	0.055386	15112	1000-Qia-M-Sof-2	1000-Qia-M-Sang-2
ERR	0.042888	15109	1000-Qia-M-Sof-2	1000-Qia-M-Sof-1
ERR	0.513496	15079	1000-Qia-R-Sang-1	10-Che-M-Sof-1
ERR	0.055004	15108	1000-Qia-R-Sang-1	100-Che-M-Sang-1
ERR	0.056471	15105	1000-Qia-R-Sang-1	100-Che-M-Sang-2
ERR	0.048864	15103	1000-Qia-R-Sang-1	100-Che-M-Sof-1
ERR	0.485890	15096	1000-Qia-R-Sang-1	100-Che-M-Sof-2
ERR	0.070639	15105	1000-Qia-R-Sang-1	100-Che-R-Sang-1
ERR	0.064168	15101	1000-Qia-R-Sang-1	100-Che-R-Sang-2
ERR	0.059119	15105	1000-Qia-R-Sang-1	100-Che-R-Sof-1
ERR	0.059306	15108	1000-Qia-R-Sang-1	100-Che-R-Sof-2
ERR	0.227893	15108	1000-Qia-R-Sang-1	100-Qia-M-Sang-1
ERR	0.222009	15103	1000-Qia-R-Sang-1	100-Qia-M-Sang-2
ERR	0.507163	15078	1000-Qia-R-Sang-1	100-Qia-M-Sof-1
ERR	0.158940	15100	1000-Qia-R-Sang-1	100-Qia-M-Sof-2
ERR	0.175111	15099	1000-Qia-R-Sang-1	100-Qia-R-Sang-1
ERR	0.169105	15103	1000-Qia-R-Sang-1	100-Qia-R-Sang-2
ERR	0.139424	15105	1000-Qia-R-Sang-1	100-Qia-R-Sof-1
ERR	0.144304	15107	1000-Qia-R-Sang-1	100-Qia-R-Sof-2
ERR	0.048801	15102	1000-Qia-R-Sang-1	1000-Che-M-Sang-1
ERR	0.048461	15105	1000-Qia-R-Sang-1	1000-Che-M-Sang-2
ERR	0.050258	15102	1000-Qia-R-Sang-1	1000-Che-M-Sof-1
ERR	0.051914	15102	1000-Qia-R-Sang-1	1000-Che-M-Sof-2
ERR	0.046796	15108	1000-Qia-R-Sang-1	1000-Che-R-Sang-1
ERR	0.049457	15104	1000-Qia-R-Sang-1	1000-Che-R-Sang-2
ERR	0.052757	15107	1000-Qia-R-Sang-1	1000-Che-R-Sof-1
ERR	0.049126	15104	1000-Qia-R-Sang-1	1000-Che-R-Sof-2
ERR	0.056265	15107	1000-Qia-R-Sang-1	1000-Qia-M-Sang-1
ERR	0.062086	15108	1000-Qia-R-Sang-1	1000-Qia-M-Sang-2
ERR	0.056008	15105	1000-Qia-R-Sang-1	1000-Qia-M-Sof-1
ERR	0.055478	15105	1000-Qia-R-Sang-1	1000-Qia-M-Sof-2
ERR	0.519374	15072	1000-Qia-R-Sang-2	10-Che-M-Sof-1
ERR	0.051917	15101	1000-Qia-R-Sang-2	100-Che-M-Sang-1
ERR	0.054113	15098	1000-Qia-R-Sang-2	100-Che-M-Sang-2
ERR	0.044386	15095	1000-Qia-R-Sang-2	100-Che-M-Sof-1
ERR	0.491086	15089	1000-Qia-R-Sang-2	100-Che-M-Sof-2
ERR	0.069616	15097	1000-Qia-R-Sang-2	100-Che-R-Sang-1
ERR	0.060951	15094	1000-Qia-R-Sang-2	100-Che-R-Sang-2
ERR	0.056681	15102	1000-Qia-R-Sang-2	100-Che-R-Sof-1
ERR	0.058473	15101	1000-Qia-R-Sang-2	100-Che-R-Sof-2
ERR	0.232898	15101	1000-Qia-R-Sang-2	100-Qia-M-Sang-1
ERR	0.221111	15101	1000-Qia-R-Sang-2	100-Qia-M-Sang-2
ERR	0.512308	15071	1000-Qia-R-Sang-2	100-Qia-M-Sof-1
ERR	0.160671	15093	1000-Qia-R-Sang-2	100-Qia-M-Sof-2
ERR	0.181836	15096	1000-Qia-R-Sang-2	100-Qia-R-Sang-1
ERR	0.168190	15096	1000-Qia-R-Sang-2	100-Qia-R-Sang-2
ERR	0.141277	15098	1000-Qia-R-Sang-2	100-Qia-R-Sof-1
ERR	0.143737	15097	1000-Qia-R-Sang-2	100-Qia-R-Sof-2
ERR	0.041667	15096	1000-Qia-R-Sang-2	1000-Che-M-Sang-1
ERR	0.043055	15097	1000-Qia-R-Sang-2	1000-Che-M-Sang-2
ERR	0.047089	15099	1000-Qia-R-Sang-2	1000-Che-M-Sof-1
ERR	0.047234	15095	1000-Qia-R-Sang-2	1000-Che-M-Sof-2
ERR	0.039799	15101	1000-Qia-R-Sang-2	1000-Che-R-Sang-1
ERR	0.041131	15098	1000-Qia-R-Sang-2	1000-Che-R-Sang-2
ERR	0.045500	15099	1000-Qia-R-Sang-2	1000-Che-R-Sof-1
ERR	0.044630	15102	1000-Qia-R-Sang-2	1000-Che-R-Sof-2
ERR	0.053639	15101	1000-Qia-R-Sang-2	1000-Qia-M-Sang-1
ERR	0.052778	15101	1000-Qia-R-Sang-2	1000-Qia-M-Sang-2
ERR	0.047953	15098	1000-Qia-R-Sang-2	1000-Qia-M-Sof-1
ERR	0.049272	15100	1000-Qia-R-Sang-2	1000-Qia-M-Sof-2
ERR	0.050086	15094	1000-Qia-R-Sang-2	1000-Qia-R-Sang-1
ERR	0.526354	15083	1000-Qia-R-Sof-1	10-Che-M-Sof-1
ERR	0.049894	15112	1000-Qia-R-Sof-1	100-Che-M-Sang-1
ERR	0.049639	15109	1000-Qia-R-Sof-1	100-Che-M-Sang-2
ERR	0.042500	15106	1000-Qia-R-Sof-1	100-Che-M-Sof-1
ERR	0.491788	15100	1000-Qia-R-Sof-1	100-Che-M-Sof-2
ERR	0.071684	15108	1000-Qia-R-Sof-1	100-Che-R-Sang-1
ERR	0.063886	15105	1000-Qia-R-Sof-1	100-Che-R-Sang-2
ERR	0.053412	15109	1000-Qia-R-Sof-1	100-Che-R-Sof-1
ERR	0.057305	15112	1000-Qia-R-Sof-1	100-Che-R-Sof-2
ERR	0.240603	15112	1000-Qia-R-Sof-1	100-Qia-M-Sang-1
ERR	0.230820	15107	1000-Qia-R-Sof-1	100-Qia-M-Sang-2
ERR	0.516775	15082	1000-Qia-R-Sof-1	100-Qia-M-Sof-1
ERR	0.163334	15104	1000-Qia-R-Sof-1	100-Qia-M-Sof-2
ERR	0.188638	15103	1000-Qia-R-Sof-1	100-Qia-R-Sang-1
ERR	0.173363	15107	1000-Qia-R-Sof-1	100-Qia-R-Sang-2
ERR	0.149116	15109	1000-Qia-R-Sof-1	100-Qia-R-Sof-1
ERR	0.145155	15108	1000-Qia-R-Sof-1	100-Qia-R-Sof-2
ERR	0.036674	15106	1000-Qia-R-Sof-1	1000-Che-M-Sang-1
ERR	0.037993	15108	1000-Qia-R-Sof-1	1000-Che-M-Sang-2
ERR	0.039719	15106	1000-Qia-R-Sof-1	1000-Che-M-Sof-1
ERR	0.039121	15107	1000-Qia-R-Sof-1	1000-Che-M-Sof-2
ERR	0.037652	15112	1000-Qia-R-Sof-1	1000-Che-R-Sang-1
ERR	0.042891	15108	1000-Qia-R-Sof-1	1000-Che-R-Sang-2
ERR	0.037326	15110	1000-Qia-R-Sof-1	1000-Che-R-Sof-1
ERR	0.037530	15108	1000-Qia-R-Sof-1	1000-Che-R-Sof-2
ERR	0.048902	15112	1000-Qia-R-Sof-1	1000-Qia-M-Sang-1
ERR	0.054592	15112	1000-Qia-R-Sof-1	1000-Qia-M-Sang-2
ERR	0.039645	15109	1000-Qia-R-Sof-1	1000-Qia-M-Sof-1
ERR	0.041035	15109	1000-Qia-R-Sof-1	1000-Qia-M-Sof-2
ERR	0.050513	15105	1000-Qia-R-Sof-1	1000-Qia-R-Sang-1
ERR	0.042456	15098	1000-Qia-R-Sof-1	1000-Qia-R-Sang-2
ERR	0.527282	15083	1000-Qia-R-Sof-2	10-Che-M-Sof-1
ERR	0.052541	15112	1000-Qia-R-Sof-2	100-Che-M-Sang-1
ERR	0.049904	15109	1000-Qia-R-Sof-2	100-Che-M-Sang-2
ERR	0.039455	15106	1000-Qia-R-Sof-2	100-Che-M-Sof-1
ERR	0.493709	15100	1000-Qia-R-Sof-2	100-Che-M-Sof-2
ERR	0.072346	15108	1000-Qia-R-Sof-2	100-Che-R-Sang-1
ERR	0.065740	15105	1000-Qia-R-Sof-2	100-Che-R-Sang-2
ERR	0.054934	15109	1000-Qia-R-Sof-2	100-Che-R-Sof-1
ERR	0.055519	15112	1000-Qia-R-Sof-2	100-Che-R-Sof-2
ERR	0.238817	15112	1000-Qia-R-Sof-2	100-Qia-M-Sang-1
ERR	0.230357	15107	1000-Qia-R-Sof-2	100-Qia-M-Sang-2
ERR	0.518433	15082	1000-Qia-R-Sof-2	100-Qia-M-Sof-1
ERR	0.163069	15104	1000-Qia-R-Sof-2	100-Qia-M-Sof-2
ERR	0.192478	15103	1000-Qia-R-Sof-2	100-Qia-R-Sang-1
ERR	0.170517	15107	1000-Qia-R-Sof-2	100-Qia-R-Sang-2
ERR	0.144152	15109	1000-Qia-R-Sof-2	100-Qia-R-Sof-1
ERR	0.146677	15108	1000-Qia-R-Sof-2	100-Qia-R-Sof-2
ERR	0.033960	15106	1000-Qia-R-Sof-2	1000-Che-M-Sang-1
ERR	0.040177	15108	1000-Qia-R-Sof-2	1000-Che-M-Sang-2
ERR	0.036939	15106	1000-Qia-R-Sof-2	1000-Che-M-Sof-1
ERR	0.035941	15108	1000-Qia-R-Sof-2	1000-Che-M-Sof-2
ERR	0.040365	15112	1000-Qia-R-Sof-2	1000-Che-R-Sang-1
ERR	0.037062	15110	1000-Qia-R-Sof-2	1000-Che-R-Sang-2
ERR	0.036066	15111	1000-Qia-R-Sof-2	1000-Che-R-Sof-1
ERR	0.038920	15108	1000-Qia-R-Sof-2	1000-Che-R-Sof-2
ERR	0.050625	15111	1000-Qia-R-Sof-2	1000-Qia-M-Sang-1
ERR	0.054195	15112	1000-Qia-R-Sof-2	1000-Qia-M-Sang-2
ERR	0.038983	15109	1000-Qia-R-Sof-2	1000-Qia-M-Sof-1
ERR	0.047455	15109	1000-Qia-R-Sof-2	1000-Qia-M-Sof-2
ERR	0.050579	15105	1000-Qia-R-Sof-2	1000-Qia-R-Sang-1
ERR	0.044774	15098	1000-Qia-R-Sof-2	1000-Qia-R-Sang-2
ERR	0.042226	15109	1000-Qia-R-Sof-2	1000-Qia-R-Sof-1
ERR	0.548588	15086	U51	10-Che-M-Sof-1
ERR	0.062124	15115	U51	100-Che-M-Sang-1
ERR	0.065180	15112	U51	100-Che-M-Sang-2
ERR	0.049573	15109	U51	100-Che-M-Sof-1
ERR	0.505065	15103	U51	100-Che-M-Sof-2
ERR	0.090199	15111	U51	100-Che-R-Sang-1
ERR	0.081612	15108	U51	100-Che-R-Sang-2
ERR	0.063923	15112	U51	100-Che-R-Sof-1
ERR	0.075620	15115	U51	100-Che-R-Sof-2
ERR	0.257294	15115	U51	100-Qia-M-Sang-1
ERR	0.248379	15110	U51	100-Qia-M-Sang-2
ERR	0.535631	15085	U51	100-Qia-M-Sof-1
ERR	0.180446	15107	U51	100-Qia-M-Sof-2
ERR	0.209519	15106	U51	100-Qia-R-Sang-1
ERR	0.191198	15110	U51	100-Qia-R-Sang-2
ERR	0.165630	15112	U51	100-Qia-R-Sof-1
ERR	0.164913	15111	U51	100-Qia-R-Sof-2
ERR	0.043352	15109	U51	1000-Che-M-Sang-1
ERR	0.045199	15111	U51	1000-Che-M-Sang-2
ERR	0.041896	15109	U51	1000-Che-M-Sof-1
ERR	0.040109	15109	U51	1000-Che-M-Sof-2
ERR	0.047569	15115	U51	1000-Che-R-Sang-1
ERR	0.049434	15111	U51	1000-Che-R-Sang-2
ERR	0.044465	15113	U51	1000-Che-R-Sof-1
ERR	0.045464	15111	U51	1000-Che-R-Sof-2
ERR	0.058356	15114	U51	1000-Qia-M-Sang-1
ERR	0.065233	15115	U51	1000-Qia-M-Sang-2
ERR	0.046255	15112	U51	1000-Qia-M-Sof-1
ERR	0.051148	15113	U51	1000-Qia-M-Sof-2
ERR	0.064800	15108	U51	1000-Qia-R-Sang-1
ERR	0.057480	15101	U51	1000-Qia-R-Sang-2
ERR	0.048240	15112	U51	1000-Qia-R-Sof-1
ERR	0.048703	15112	U51	1000-Qia-R-Sof-2
ERR	0.154053	14508	fcr3	10-Che-M-Sof-1
ERR	0.486483	14537	fcr3	100-Che-M-Sang-1
ERR	0.484519	14534	fcr3	100-Che-M-Sang-2
ERR	0.483107	14533	fcr3	100-Che-M-Sof-1
ERR	0.047367	14525	fcr3	100-Che-M-Sof-2
ERR	0.489886	14534	fcr3	100-Che-R-Sang-1
ERR	0.488919	14530	fcr3	100-Che-R-Sang-2
ERR	0.481148	14534	fcr3	100-Che-R-Sof-1
ERR	0.487996	14537	fcr3	100-Che-R-Sof-2
ERR	0.545917	14537	fcr3	100-Qia-M-Sang-1
ERR	0.549821	14532	fcr3	100-Qia-M-Sang-2
ERR	0.099393	14508	fcr3	100-Qia-M-Sof-1
ERR	0.524262	14529	fcr3	100-Qia-M-Sof-2
ERR	0.532214	14528	fcr3	100-Qia-R-Sang-1
ERR	0.519612	14532	fcr3	100-Qia-R-Sang-2
ERR	0.518715	14534	fcr3	100-Qia-R-Sof-1
ERR	0.515585	14533	fcr3	100-Qia-R-Sof-2
ERR	0.480765	14531	fcr3	1000-Che-M-Sang-1
ERR	0.482249	14534	fcr3	1000-Che-M-Sang-2
ERR	0.484206	14531	fcr3	1000-Che-M-Sof-1
ERR	0.479221	14534	fcr3	1000-Che-M-Sof-2
ERR	0.483525	14537	fcr3	1000-Che-R-Sang-1
ERR	0.477881	14535	fcr3	1000-Che-R-Sang-2
ERR	0.480016	14537	fcr3	1000-Che-R-Sof-1
ERR	0.480561	14533	fcr3	1000-Che-R-Sof-2
ERR	0.485828	14536	fcr3	1000-Qia-M-Sang-1
ERR	0.480567	14537	fcr3	1000-Qia-M-Sang-2
ERR	0.482386	14534	fcr3	1000-Qia-M-Sof-1
ERR	0.478258	14534	fcr3	1000-Qia-M-Sof-2
ERR	0.484104	14532	fcr3	1000-Qia-R-Sang-1
ERR	0.483165	14523	fcr3	1000-Qia-R-Sang-2
ERR	0.482284	14535	fcr3	1000-Qia-R-Sof-1
ERR	0.483318	14537	fcr3	1000-Qia-R-Sof-2
ERR	0.471830	14537	fcr3	U51
