uniq_a	uniq_b	shared	sample_a	sample_b
3621	2978	22568	1000-Che-M-Sof-1	1000-Qia-M-Sof-2
4194	2859	21995	1000-Che-M-Sof-1	1000-Qia-R-Sang-1
4222	3012	21967	1000-Che-M-Sof-1	1000-Qia-R-Sang-2
3067	3902	23122	1000-Che-M-Sof-1	1000-Qia-R-Sof-1
3472	3314	22717	1000-Che-M-Sof-1	1000-Qia-R-Sof-2
4529	2578	21660	1000-Che-M-Sof-1	100-Che-M-Sang-1
4688	2660	21501	1000-Che-M-Sof-1	100-Che-M-Sang-2
3279	2908	22910	1000-Che-M-Sof-1	100-Che-M-Sof-1
24695	942	1494	1000-Che-M-Sof-1	100-Che-M-Sof-2
6801	2279	19388	1000-Che-M-Sof-1	100-Che-R-Sang-1
5896	2343	20293	1000-Che-M-Sof-1	100-Che-R-Sang-2
4495	2835	21694	1000-Che-M-Sof-1	100-Che-R-Sof-1
4763	2593	21426	1000-Che-M-Sof-1	100-Che-R-Sof-2
11102	2964	15087	1000-Che-M-Sof-1	100-Qia-M-Sang-1
10707	2742	15482	1000-Che-M-Sof-1	100-Qia-M-Sang-2
11632	2200	14557	1000-Che-M-Sof-1	100-Qia-M-Sof-1
12700	1854	13489	1000-Che-M-Sof-1	100-Qia-M-Sof-2
8963	2830	17226	1000-Che-M-Sof-1	100-Qia-R-Sang-1
8512	3057	17677	1000-Che-M-Sof-1	100-Qia-R-Sang-2
8280	3204	17909	1000-Che-M-Sof-1	100-Qia-R-Sof-1
8497	3038	17692	1000-Che-M-Sof-1	100-Qia-R-Sof-2
2734	3009	22641	1000-Che-M-Sof-2	1000-Che-M-Sang-1
2637	3077	22738	1000-Che-M-Sof-2	1000-Che-M-Sang-2
2363	3177	23012	1000-Che-M-Sof-2	1000-Che-M-Sof-1
0	0	25375	1000-Che-M-Sof-2	1000-Che-M-Sof-2
3113	2910	22262	1000-Che-M-Sof-2	1000-Che-R-Sang-1
3095	3097	22280	1000-Che-M-Sof-2	1000-Che-R-Sang-2
2687	3265	22688	1000-Che-M-Sof-2	1000-Che-R-Sof-1
2791	3079	22584	1000-Che-M-Sof-2	1000-Che-R-Sof-2
3637	3206	21738	1000-Che-M-Sof-2	1000-Qia-M-Sang-1
3891	3120	21484	1000-Che-M-Sof-2	1000-Qia-M-Sang-2
2901	3253	22474	1000-Che-M-Sof-2	1000-Qia-M-Sof-1
3122	3293	22253	1000-Che-M-Sof-2	1000-Qia-M-Sof-2
3665	3144	21710	1000-Che-M-Sof-2	1000-Qia-R-Sang-1
3639	3243	21736	1000-Che-M-Sof-2	1000-Qia-R-Sang-2
2582	4231	22793	1000-Che-M-Sof-2	1000-Qia-R-Sof-1
3005	3661	22370	1000-Che-M-Sof-2	1000-Qia-R-Sof-2
3888	2751	21487	1000-Che-M-Sof-2	100-Che-M-Sang-1
4041	2827	21334	1000-Che-M-Sof-2	100-Che-M-Sang-2
2794	3237	22581	1000-Che-M-Sof-2	100-Che-M-Sof-1
23872	933	1503	1000-Che-M-Sof-2	100-Che-M-Sof-2
6063	2355	19312	1000-Che-M-Sof-2	100-Che-R-Sang-1
5294	2555	20081	1000-Che-M-Sof-2	100-Che-R-Sang-2
3889	3043	21486	1000-Che-M-Sof-2	100-Che-R-Sof-1
4086	2730	21289	1000-Che-M-Sof-2	100-Che-R-Sof-2
10381	3057	14994	1000-Che-M-Sof-2	100-Qia-M-Sang-1
10108	2957	15267	1000-Che-M-Sof-2	100-Qia-M-Sang-2
10893	2275	14482	1000-Che-M-Sof-2	100-Qia-M-Sof-1
11948	1916	13427	1000-Che-M-Sof-2	100-Qia-M-Sof-2
8327	3008	17048	1000-Che-M-Sof-2	100-Qia-R-Sang-1
7847	3206	17528	1000-Che-M-Sof-2	100-Qia-R-Sang-2
7678	3416	17697	1000-Che-M-Sof-2	100-Qia-R-Sof-1
7849	3204	17526	1000-Che-M-Sof-2	100-Qia-R-Sof-2
2731	3209	22441	1000-Che-R-Sang-1	1000-Che-M-Sang-1
2591	3234	22581	1000-Che-R-Sang-1	1000-Che-M-Sang-2
2626	3643	22546	1000-Che-R-Sang-1	1000-Che-M-Sof-1
2910	3113	22262	1000-Che-R-Sang-1	1000-Che-M-Sof-2
0	0	25172	1000-Che-R-Sang-1	1000-Che-R-Sang-1
2715	2920	22457	1000-Che-R-Sang-1	1000-Che-R-Sang-2
2587	3368	22585	1000-Che-R-Sang-1	1000-Che-R-Sof-1
2767	3258	22405	1000-Che-R-Sang-1	1000-Che-R-Sof-2
3540	3312	21632	1000-Che-R-Sang-1	1000-Qia-M-Sang-1
3927	3359	21245	1000-Che-R-Sang-1	1000-Qia-M-Sang-2
3034	3589	22138	1000-Che-R-Sang-1	1000-Qia-M-Sof-1
3245	3619	21927	1000-Che-R-Sang-1	1000-Qia-M-Sof-2
3372	3054	21800	1000-Che-R-Sang-1	1000-Qia-R-Sang-1
3260	3067	21912	1000-Che-R-Sang-1	1000-Qia-R-Sang-2
2575	4427	22597	1000-Che-R-Sang-1	1000-Qia-R-Sof-1
2851	3710	22321	1000-Che-R-Sang-1	1000-Qia-R-Sof-2
3886	2952	21286	1000-Che-R-Sang-1	100-Che-M-Sang-1
3851	2840	21321	1000-Che-R-Sang-1	100-Che-M-Sang-2
2942	3588	22230	1000-Che-R-Sang-1	100-Che-M-Sof-1
23665	929	1507	1000-Che-R-Sang-1	100-Che-M-Sof-2
5725	2220	19447	1000-Che-R-Sang-1	100-Che-R-Sang-1
4928	2392	20244	1000-Che-R-Sang-1	100-Che-R-Sang-2
3567	2924	21605	1000-Che-R-Sang-1	100-Che-R-Sof-1
3920	2767	21252	1000-Che-R-Sang-1	100-Che-R-Sof-2
10253	3132	14919	1000-Che-R-Sang-1	100-Qia-M-Sang-1
9751	2803	15421	1000-Che-R-Sang-1	100-Qia-M-Sang-2
10878	2463	14294	1000-Che-R-Sang-1	100-Qia-M-Sof-1
11779	1950	13393	1000-Che-R-Sang-1	100-Qia-M-Sof-2
7986	2870	17186	1000-Che-R-Sang-1	100-Qia-R-Sang-1
7530	3092	17642	1000-Che-R-Sang-1	100-Qia-R-Sang-2
7451	3392	17721	1000-Che-R-Sang-1	100-Qia-R-Sof-1
7665	3223	17507	1000-Che-R-Sang-1	100-Qia-R-Sof-2
2828	3101	22549	1000-Che-R-Sang-2	1000-Che-M-Sang-1
2769	3207	22608	1000-Che-R-Sang-2	1000-Che-M-Sang-2
2775	3587	22602	1000-Che-R-Sang-2	1000-Che-M-Sof-1
3097	3095	22280	1000-Che-R-Sang-2	1000-Che-M-Sof-2
2920	2715	22457	1000-Che-R-Sang-2	1000-Che-R-Sang-1
0	0	25377	1000-Che-R-Sang-2	1000-Che-R-Sang-2
