GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sampleName
20782107	20.683967	26.497154	13	8	0.143514	0	0.040873	0.026366	0.172037	0.008174	0.390965	0.965307	0.804681	0.602681	0.447796	0.338748	0.260433	0.20405	0.131353	0.088606	0.062534	0.04529	0.033965	0.026004	0.020341	0.902149	10	8025874376
20782107	121.130849	81.86639	105	64	0.111295	0	0.034758	0.025968	0.164269	0.120431	0.456721	0.993062	0.978896	0.959083	0.936802	0.912667	0.887068	0.860698	0.806467	0.753794	0.702874	0.65386	0.606874	0.562361	0.520571	0.986957	19	8025874377
20782107	133.046016	83.702194	121	73	0.104163	0	0.035251	0.027218	0.158062	0.154924	0.479619	0.994312	0.98403	0.968128	0.950144	0.930481	0.909409	0.886781	0.8397	0.792294	0.745656	0.700704	0.657512	0.616393	0.577318	0.989784	20	8025874380
20782107	32.099374	32.048783	23	14	0.128899	0	0.031804	0.025418	0.174553	0.001495	0.362168	0.978672	0.896157	0.778798	0.666915	0.566257	0.47693	0.399923	0.280232	0.196206	0.138575	0.099712	0.072647	0.053923	0.040938	0.945641	13	8025874382
20782107	73.854746	72.338764	47	34	0.125431	0	0.03377	0.026469	0.171155	0.092149	0.448974	0.984322	0.938218	0.873544	0.810978	0.751708	0.696988	0.646948	0.558253	0.483734	0.423261	0.372356	0.329133	0.292778	0.26185	0.965276	15	8025874387
20782107	110.979051	84.101317	88	60	0.110315	0	0.035262	0.027344	0.158865	0.158305	0.490091	0.991491	0.971858	0.941877	0.908402	0.874117	0.839652	0.805662	0.741272	0.682665	0.629498	0.580258	0.534841	0.492914	0.455196	0.983087	18	8025874411
20782107	70.72569	79.641754	36	29	0.125453	0	0.041785	0.03153	0.162349	0.252444	0.613561	0.973745	0.886823	0.791123	0.713352	0.649213	0.595344	0.549001	0.474423	0.416221	0.369644	0.331752	0.300281	0.2741	0.251862	0.937878	12	8025874419
20782107	68.718548	70.497818	42	31	0.120414	0	0.038247	0.026682	0.164831	0.102732	0.452905	0.982396	0.92696	0.853644	0.784258	0.721217	0.663538	0.611867	0.523213	0.450463	0.390581	0.340841	0.298879	0.263923	0.234656	0.95924	14	8025874421
20782107	143.036933	89.096764	137	94	0.121618	0	0.037879	0.026767	0.164829	0.258212	0.609305	0.991687	0.978648	0.961267	0.941493	0.920173	0.898348	0.876245	0.831682	0.789689	0.74986	0.711238	0.674536	0.639843	0.606594	0.986056	19	8025874430
20782107	91.556275	66.23789	77	41	0.133164	0	0.03305	0.02521	0.176112	0.032732	0.400268	0.991485	0.974634	0.95044	0.922624	0.891514	0.858891	0.825344	0.755113	0.68439	0.6152	0.547101	0.482751	0.422999	0.3692	0.984392	18	8025874435
20782107	60.612328	77.971556	24	22	0.138634	0	0.042015	0.027788	0.170441	0.269203	0.64808	0.938141	0.800122	0.688071	0.607953	0.546592	0.497725	0.457283	0.394398	0.347259	0.310581	0.279734	0.253733	0.231545	0.212562	0.882706	9	8025874440
20782107	62.406133	66.94685	37	27	0.122949	0	0.039844	0.029336	0.162563	0.091759	0.446451	0.981181	0.917085	0.833771	0.756734	0.688079	0.627066	0.573398	0.482247	0.409841	0.351016	0.302352	0.262861	0.23047	0.203412	0.954724	13	8025874441
20782107	84.227947	76.792221	57	40	0.12241	0	0.037689	0.026183	0.167911	0.12512	0.479313	0.986888	0.951464	0.900094	0.847144	0.795672	0.746691	0.700595	0.617776	0.547247	0.486044	0.432946	0.387049	0.347722	0.31344	0.971987	16	8025874447
20782107	76.159565	70.588667	52	35	0.115846	0	0.037938	0.027017	0.161781	0.081786	0.424368	0.985834	0.94847	0.894659	0.839107	0.785139	0.73358	0.68456	0.595795	0.518545	0.45272	0.396591	0.348795	0.307717	0.272527	0.970116	15	8025874457
20782107	112.714897	81.94029	92	59	0.114908	0	0.03686	0.02625	0.162649	0.129729	0.470396	0.993348	0.97772	0.953594	0.925015	0.893893	0.861702	0.829938	0.767194	0.70813	0.653235	0.601485	0.553786	0.509783	0.469649	0.986585	19	8025874463
20782107	111.410189	84.174346	88	60	0.116997	0	0.037214	0.026606	0.162727	0.163914	0.507459	0.990668	0.970708	0.940943	0.907961	0.874327	0.841042	0.807974	0.744376	0.685631	0.631677	0.582212	0.537037	0.495715	0.457983	0.982091	17	8025874482
