total	mapped	paired	plate	sampleName	pc_mapped	balance_coeff
61938	31377	27182	m5	8034211321	0.506587232393684	2.5511664595085577
158620	41765	31564	m5	8034211323	0.2633022317488337	1.9166275589608526
83540	38432	32744	m5	8034211351	0.46004309312903996	2.0828463259783514
86470	11439	9676	m5	8034211356	0.13228865502486412	6.997810123262524
57828	28057	24532	m5	8034211381	0.4851801895275645	2.8530473678582884
88072	42229	36196	m5	8034211406	0.4794826959760196	1.8955682114186936
67724	35289	30686	m5	8034211419	0.5210708168448408	2.2683541613533964
103028	24517	18530	m5	8034211437	0.23796443685211788	3.2649977566586452
67120	39018	33476	m5	8034211471	0.5813170441001192	2.0515646624634782
69378	28806	25104	m5	8034211488	0.4152036668684597	2.7788637783795043
58280	37028	32002	m5	8034211509	0.6353466026080988	2.161822134600843
71886	39552	33980	m5	8034211512	0.5502044904432017	2.023866049757282
81838	37582	31618	m5	8034211526	0.45922432121997114	2.129954499494439
74222	20113	17272	m5	8034211547	0.2709843442645038	3.9799110028339886
65350	40500	34490	m5	8034211558	0.6197398622800306	1.9764925925925927
70916	36022	30440	m5	8034211575	0.5079530712392126	2.2221961579035034
61780	20807	17898	m5	8034211578	0.33679184202007123	3.8471644158215987
56222	12410	10834	m5	8034211582	0.2207320977553271	6.450278001611604
88470	41191	35254	m5	8034211599	0.465592856335481	1.9433359228957785
72582	30305	25710	m5	8034211605	0.41752776170400374	2.64141065830721
68762	47491	40108	m5	8034211610	0.6906576306681016	1.6855393653534354
60462	35235	30506	m5	8034211611	0.582762727002084	2.2718305661983824
80106	25879	22086	m5	8034211652	0.3230594462337403	3.0931624096757986
57018	34570	30110	m5	8034211687	0.6062997649864955	2.3155322533989007
58668	38671	33528	m5	8034211738	0.6591497920501806	2.069973623645626
69164	35825	30660	m5	8034211768	0.517971777225146	2.2344159106769017
85012	19278	16222	m5	8034211786	0.22676798569613701	4.15229536258948
42906	22991	19708	m5	8034211805	0.5358458024518715	3.4817080596755257
1322100	302435	237382	m5	Undetermined	0.22875349822252478	0.2646781953146957
92820	41174	25878	ubn1	1106666165	0.44358974358974357	3.745996259775587
145084	67520	47502	ubn1	1117532950	0.4653855697389099	2.28432538507109
114772	53190	34540	ubn1	1147452927	0.46344056041543236	2.8997490129723635
128818	62556	40582	ubn1	1147453268	0.4856153643124408	2.4655932284672932
56608	25680	16376	ubn1	1148499593	0.4536461277557942	6.006139018691589
100962	57485	43016	ubn1	1148499595	0.5693726352489056	2.6830938505697137
84382	38548	24254	ubn1	1148499596	0.45682728544002277	4.001184237833351
128626	61358	39644	ubn1	1148499600	0.477026417676053	2.5137333355063727
100726	43363	27010	ubn1	1148499601	0.4305045370609376	3.5568952793856514
100060	40290	25416	ubn1	1148499609	0.40265840495702576	3.828186895011169
106944	53576	37418	ubn1	1148499619	0.5009724715739078	2.878857137524265
89414	43536	29144	ubn1	1148499620	0.4869036168832621	3.542761163175303
102460	57229	41094	ubn1	1148499630	0.558549677923092	2.6950960177532366
89724	44504	29966	ubn1	1148499642	0.4960099861798404	3.4657030828689557
99086	46878	30386	ubn1	1148499643	0.47310417213329836	3.2901926276718294
92974	47749	33036	ubn1	1148499654	0.513573687267408	3.230175501057614
117578	50589	31514	ubn1	1148499657	0.43025906206943476	3.0488376919883766
89290	41495	27098	ubn1	1148499659	0.46472169335871877	3.7170177129774675
62644	23450	13348	ubn1	1148499670	0.3743375263393142	6.577298507462686
62868	28969	18834	ubn1	1148499674	0.46079086339632247	5.324231074596984
86766	41325	26566	ubn1	1148499677	0.47628103174054354	3.732308529945554
71688	28818	16872	ubn1	1148499683	0.40199196518245733	5.352128877784718
89506	34617	22098	ubn1	1148499752	0.38675619511541126	4.4555464078343014
213674	118650	90164	ubn1	1148499781	0.5552851540196748	1.2999380530973452
112130	44363	28600	ubn1	1148499783	0.39563899045750467	3.476718211121881
